song_id,title,artist,genre,tier,has_audio_url,has_physical_audio,audio_size_bytes,audio_sha256,has_cover_url,has_physical_cover,cover_size_bytes,cover_sha256,has_physical_lyrics,lyrics_size_bytes,lyrics_words,lyrics_sha256,release_year
RMVM_S_66c77daaa1,Lao Ái Xử Trảm,Cao Tùng Anh,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2674,483,e434094eef1aab263339566f91e76ec84d14a81f40876ffecbb998fb54313160,
RMVM_S_4db6a034c9,Chờ Anh Em Nhé (Beat),"Châu Khải Phong, Thành Nam ABK",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1510,273,92ca1fdf2519d2c1aeff06eaaa95b3d6803fa31dddcfd24c9fa6ff1d7ccf936d,
RMVM_S_c28823340d,Vai Áo Phù Sa (Orinn Remix),"Nguyễn Thành Đạt, Orinn",DANCE_EDM,TIER_A,True,False,0,,False,False,0,,True,1578,270,6d146e38c3cd7ea0c8c14defc9d77283280c77f94e37848789b4af59e792f0f6,
RMVM_S_add15eb8ae,Buồn Nơi Anh,Đinh Việt Quang,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1379,241,1f306ab7de81ad5d9f16a45678596d5d94b22e989d33ff321e5764425569268b,
RMVM_S_b3cde4afdf,Một Câu Chuyện Buồn,Ái Phương,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2138,361,2dd4e4bd375851d8ac4fa765303f84f472dcc836d2820e7a01c0326129e734a1,
RMVM_S_f82b9d3904,Có Lẽ Anh Đã Đánh Mất Em,"Minh Huy, THIENVU, Nam Joyy",RB_SOUL,TIER_A,True,False,0,,False,False,0,,True,2391,421,6de197eb4610ec41381a8ca792dd06c7ff66cd79dded95e7f80b8afc470c70bd,
RMVM_S_e6ef8754df,Xuân Của Công Nhân,Nhật Kim Anh,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,1333,236,38668c78f535052bade06cafaa78fc5141160303fbeb563a92a383f389b9c93f,
RMVM_S_f7fd7cb227,Khoảnh Khắc,Giang Hồng Ngọc,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,1527,271,9c6af04115a31d89806701361ed349df3a7edd6be0dbf00c703cf19f05a0a806,
RMVM_S_aa690d6d7d,Duyên Vỡ Ép Mấy Cũng Lỡ,Yong Anh,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1974,364,c25870e7e717827aa82d81f92bce897cd3fd4fbb3d2bfba09d43dc1452047c74,
RMVM_S_fd4152a79c,Đoạn Tình Quê,"Linh Lor, $hen, HHD",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,3100,543,e9a468448cc39826c52bcb05e357ee7ebd667515b94f6193e1b75ac913422d77,
RMVM_S_548c909f05,Có Sao Cũng Đành (Remix Version),DatKaa,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1666,299,5d6fb9a04379b8c281d2d82a8356b5a33b4a7d82e1ef83113df0a2837db89dcf,
RMVM_S_03ee53d798,Mần Rể Miền Tây,"Gin Tuấn Kiệt, Puka",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2953,551,f31cebb39e4840b9b145db114f70ae43749b055e40b5df7601964830e9e8faaa,
RMVM_S_50d1963a18,Còn Yêu Hãy Về Với Nhau (T-Bag Remix),"Kalee Hoàng, Thành Tar",DANCE_EDM,TIER_A,True,False,0,,False,False,0,,True,1101,196,256f356069f187df58410ccd14217696693137d26c87785cd6995596148d98b7,
RMVM_S_656afb6870,Hát Nữa Đi Em,Chế Thanh,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,854,148,c1ff16e2d43fbe1041cd5253d75daded34e27c5997b5b5b19298a772d88048fd,
RMVM_S_b6560bd0f0,Chương 2 Của Tương Lai,"WEAN, MCK, Tenkitsune",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,4093,759,3dfe26919f0d39a10b36862d714111315afc241af71cfa7cf1dcc18062bb8418,
RMVM_S_4848c786e7,LK Lẻ Bóng & Ai Cho Tôi Tình Yêu,Nhiều nghệ sĩ,INSTRUMENTAL,TIER_B,True,False,0,,False,False,0,,True,2649,453,cda6960a56f93e384a35d98dd7d200f0d3136f1179091b6166ce9ec6f9dfef14,
RMVM_S_d016febfb2,Cháu Vẽ Ông Mặt Trời,Mầm Chồi Lá,CHILDREN,TIER_A,True,False,0,,False,False,0,,True,994,168,fe72f679785184103046e73dbc4e7fafa01cb53c687565c3e968aee8156180bd,
RMVM_S_f5e2b2a07a,Nếu Có Một Ngày,Duongg,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,446,76,37f81917519374bdebe849ed165ff65591938e8d688d316189a1e3e534f689e4,
